,Prompt,Story
0,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 5-8. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 2.  البلد اللي بتحصل فيها الأحداث هي سوريا. الأحداث بتدور في الفصل الشتاء.  الحكاية المفروض يكون فيها إحساس بالانزعاج. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في بلاد الشام العزيزة، وتحديداً في سوريا، كان فيه ولد اسمه سامر وقطته الصغيرة منى. سامر ومنى كانوا أصحاب لبعض من زمان، وما يفارقوش بعض أبدًا. الجو كان بيدخل على الشتاء، والبرد بيزيد كل يوم عن اليوم اللي قبله.

في يوم من الأيام، جه البرد قارس جداً، والثلج غطى كل حتة. سامر كان قلقان على منى، لأنها مش متعودة على البرد الشديد ده. قرر يبني لها بيت صغير من الكرتون جوا البيت عشان تدفا فيه.

لكن منى، القطة الصغيرة، كانت تحب تلعب برا، وفي واحدة من المرات، خرجت ونسيت ترجع. سامر قلق عليها جداً وخرج يدور عليها في كل حتة وسط البرد والثلج، لكن من غير فايدة. فضل يدور ويدور لحد ما الليل جه والبرد زاد أكتر.

سامر رجع البيت حزين، قلبه مليان خوف على صديقته منى. ظل سهران طول الليل، بيتمنى إنه يشوفها تاني. ولكن الصبح جه ومنى مرجعتش.

بعد يومين، وأثناء ما سامر كان بيلعب بالثلج قريب من البيت، لاقى منى مدفونة تحت الثلج، جسمها صار بارد ومابقاش فيها حياة. سامر حزن حزن شديد على صاحبته، واتعلم إن البرد ممكن يكون قاسي ومرة ياخد مننا اللي بنحبهم.

الحكاية دي، والله محزنة، بس بتعلمنا نكون دايماً حريصين وناخد بالنا من اللي بنحبهم، خصوصاً في الأيام الصعبة."
1,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 8-10. أحداث الحكاية المفروض تكون في المزرعة. نهاية الحكاية المفروض تكون حزينة. لازم يكون في حوار. عدد الشخصيات في الحكاية المفروض يكون 3. :الدرس المستفاد من الحكاية هو الكذب يكسر الثقة. الموضوع بتاع القصة لازم يكون الفن والإبداع.  البلد اللي بتحصل فيها الأحداث هي الأردن.  الحكاية المفروض يكون فيها إحساس بالمفاجأة. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في يوم من الأيام، في مزرعة كبيرة بالأردن، كان في عجل بيحب الرسم اسمه حمودي، وخروف صغير شقي اسمه سمير، وفرخة كانت دايمًا بتغني اسمها ليلى.

حمودي دايمًا كان بيحلم يبقى رسام مشهور، بس مكنش عنده الألوان اللي يقدر يستخدمها. ففكر سمير في حيلة علشان يساعد صاحبه: هو هيكدب على بياع الألوان ويقوله إن ليلى طايرة جايباله طلبية خاصة من السما.

ليلى سمعت الكلام وزعلت جدًا، لكن سمير أقنعها إن ده هيخلي حمودي سعيد. لما راح سمير لبياع الألوان، حكاله القصة المخترعة:

- يا عمي، أنا جايب طلبية من السما مباشرة، الفرخة اللي عندنا بتتكلم مع الطيور العالية وبعتولنا طلبية ألوان للأستاذ الكبير حمودي.

البياع، بعد ما سمع القصة العجيبة، انبهر وقرر يدي الألوان لسمير بدون مقابل.

لكن بعد فترة، لما جه البياع يشوف الرسومات المزعومة بنفسه واكتشف إن مفيش طلبية من السما ولا حاجة، حزن جدا وشعر بخيبة أمل. رجع للمزرعة وواجه حمودي وسمير وليلى بالحقيقة.

قال حمودي بحزن: ""مكنش ينفع تكدب علشان تجيبلي الألوان، يا سمير. الحقيقة أهم بكتير من حلم رسام.""

سمير وهو مطأطئ الرأس: ""أنا آسف. كنت فاكر إن النهاية الحلوة ممكن تبرر أي وسيلة.""

ومن يومها، فهموا كلهم إن الكذب بيكسر الثقة حتى لو كانت نيتهم كويسة. وأكتر حاجة حزنتهم إن ليلى بقت بتغني بصوت حزين بعدما كانت دايمًا تغني بفرحة.

الحكاية دي علمتهم وعلمتنا كمان إن الصدق هو الأساس وإن مفيش حلم بيستاهل إنه يتحقق على حساب الثقة بين الأصحاب."
2,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 8-10. أحداث الحكاية المفروض تكون في الجبال. نهاية الحكاية المفروض تكون سعيدة. عدد الشخصيات في الحكاية المفروض يكون 1.  البلد اللي بتحصل فيها الأحداث هي فلسطين. النشاط حل الألغاز. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"كان في ولد صغير اسمه يوسف، كان عايش في بلد صغيرة وجميلة في فلسطين، جنب الجبال. يوسف كان بيحب الجبال جدًا ودايمًا كان بيحلم يروح يلعب ويستكشف في الجبل اللي جنب بيتهم.

في يوم من الأيام، قرر يوسف يخلي حلمه حقيقي ويروح يستكشف الجبل. أول ما وصل، لقى كهف. قلبه دق بسرعة من الحماس، وقرر يدخل يشوف الكهف من جوه.

جوه الكهف، لقى لغز كاتب على الحائط، وكان لازم يحله علشان يكمل المشوار في الجبل. يوسف قعد يفكر ويحاول يحل اللغز. استخدم كل ذكاءه وفي النهاية، توصل للحل! اللغز قاله يروح لمكان معين في الجبل.

يوسف اتبع الإرشادات ووصل لمكان في الجبل كان جميل جدًا، فيه أشجار وورد ومنظر الشمس كان رائع. وكمان، لقى صندوق صغير. لما فتحه، لقى داخله مجموعة من الحجارة الملونة الجميلة جدًا ورسالة.

الرسالة كانت بتقول إن يوسف بقى صاحب الكنز وأشجع واحد في البلد علشان حل اللغز ووصل للكنز.

يوسف رجع لبيتهم وهو مبسوط جدًا ومتحمس يحكي المغامرة لكل الناس. ومن يومها، بقى يوسف مغامر جبال معروف في البلد كلها. وكان دايمًا بيرجع يستكشف في الجبال ولكن المرة دي بيعلم كل الأطفال الصغيرين في البلد كيف يحلوا الألغاز ويكتشفوا الجمال اللي حواليهم.

وبكده، مش بس يوسف حقق حلمه، لكن كمان خلى كل الأطفال يحلموا ويحبوا الاستكشاف زيه. وعاش يوسف وأهل البلد في سعادة ومرح، والجبل بقى مكان تجمع للجميع يلعبوا ويستكشفوا ويتعلموا مع بعض."
3,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 3-5. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 3.  البلد اللي بتحصل فيها الأحداث هي المغرب. النشاط القيام بالأشغال اليدوية. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في يوم من الأيام، في بلد جميل اسمه المغرب، كان فيه ثلاثة أصحاب صغيرين، الأول اسمه حميد والتاني اسمه ياسين والتالتة اسمها سلمى. حميد وياسين وسلمى كانوا بيحبوا يلعبوا مع بعض كل يوم بعد المدرسة. كانوا بيعشقوا يعملوا الأشغال اليدوية المختلفة، دايمًا كانوا يجتمعوا في بيت سلمى لأنها كانت عندها صندوق كبير مليان بالألوان والصلصال والورق الملون وأدوات كتيرة.

ذات يوم، قرروا يعملوا مجسمات صغيرة من الصلصال، كل واحد فيهم اختار حيوان يحبه وبدأوا يشتغلوا. حميد عمل فيل صغير، ياسين عمل سمكة ملونة، وسلمى قررت تعمل عصفور جميل. ضحكوا ولعبوا وهما بيعملوا الأشغال اليدوية دي، وبعد ما خلصوا، حطوا المجسمات تحت الشمس علشان تنشف.

لكن، بعد ما خلص اليوم ورجع كل واحد فيهم البيت، حصلت عاصفة ترابية قوية ضربت البلد، والعصفور الصلصال اللى سلمى عملته تطاير بعيد وده كان حنين قلبها. لما راحوا اليوم اللي بعده يلعبوا ويشوفوا الأشغال اليدوية بتاعتهم، لقوا الفيل والسمكة بس، والعصفور كان اختفى.

سلمى حزنت جدًا، دموعها نزلت على خدها وهي بتدور حوالين المكان علشان تلاقي العصفور، بس ملقتهوش. حميد وياسين حاولوا يهدوها ووعدوها يساعدوها تعمل عصفور جديد، لكن سلمى كانت حاسة بحزن كبير على عصفورها الأول.

القصة دي كانت حزينة، بس كمان علمت الأصحاب إن المشاعر اللى بيشاركوها والوقت اللى بيقضوه مع بعض أهم بكتير من أي حاجة مادية، حتى لو كانت عزيزة على قلوبهم."
4,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 5-8. نهاية الحكاية المفروض تكون سعيدة. عدد الشخصيات في الحكاية المفروض يكون 1. الموضوع بتاع القصة لازم يكون الرياضة والألعاب.  البلد اللي بتحصل فيها الأحداث هي تونس. النشاط مشاهدة مقاطع الفيديو التعليمية.  الحكاية المفروض يكون فيها إحساس بالرهبة. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"كان فيه ولد اسمه يوسف عايش في تونس، يوسف كان بيحب الرياضة أووي بس دايماً كان خايف يلعب أي لعبة جديدة. يوم من الأيام، قرر يوسف إنه يتغلب على خوفه ويتعلم لعبة التنس.

يوسف بدأ يدور على فيديوهات تعليمية على الإنترنت علشان يتعلم لعب التنس. في الأول، كان حاسس بالرهبة والقلق وهو بيشوف اللاعبين بيتحركوا بسرعة ويضربوا الكرة بقوة. بس يوسف ما استسلمش، قعد يتفرج على مقاطع الفيديو كل يوم، وكان بيحاول يقلدهم في الحوش بتاع بيتهم.

مع مرور الأيام، بدأ يوسف يحس بالثقة في نفسه وهو بيلعب وبيتعلم حركات جديدة من الفيديوهات. وبعد فترة، قرر يشارك في بطولة المدرسة للتنس. كل الأطفال كانوا موجودين والكل كان مستغرب يوسف هيلعب التنس؟ الولد اللي كان دايمًا خايف!

جه يوم البطولة، ويوسف كان واقف جامد على الأرض، قلبه كان بيدق جامد، بس فاكر كل الحاجات اللي تعلمها من الفيديوهات. وبدأ اللعب، وكل ما الكرة تجي عنده، كان يضربها بكل قوته ومهارته.

بعد ماتش حماسي، يوسف كسب الماتش وفاز بالبطولة. كل الأطفال اللي في المدرسة جروا عليه يهنوه، وهو حس بفرحة كبيرة ما حسهاش قبل كدة، كل ده عشان قدر يتغلب على خوفه ويثبت لنفسه إنه يقدر.

من ساعتها ويوسف بقى يجرب كل الألعاب الرياضية الجديدة بدون خوف، وعرف إن مفيش حاجة مستحيلة لما تكون عندك الإرادة والجهد. وده كان أحلى درس تعلمه يوسف من تجربته مع لعبة التنس. وعاش يوسف سعيد وفرحان بالنجاح اللي حققه وبكل لعبة جديدة بيتعلمها."
5,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 3-5. نهاية الحكاية المفروض تكون سعيدة. لازم يكون في حوار. عدد الشخصيات في الحكاية المفروض يكون 1. الموضوع بتاع القصة لازم يكون الرياضة والألعاب.  البلد اللي بتحصل فيها الأحداث هي اليمن.  الحكاية المفروض يكون فيها إحساس بالذنب. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في يوم من الأيام، في بلاد اليمن الجميلة، كان في ولد صغير اسمه ياسين. ياسين كان بيحب اللعب والجري في الحارة جدًا مع الكورة بتاعته.

في يوم، قرر ياسين يلعب بالكورة جوه البيت، رغم مامته قالتله كتير: ""ياسين، لا تقعد تلعب بالكورة جوه البيت لأنك هتكسر حاجة"".

ياسين سمع كلام مامته بس معرفش يقاوم الفكرة، قلبه كان نفسه يلعب بالكورة لأن الجو في البرا كان حر جدًا. جرى ورا الكورة يلعب بيها في الصالة، وطارت منه الكورة وكسرت المزهرية الجميلة جدًا اللي كانت مامته بتحبها أوي.

ياسين حس بالذنب جامد ومعرفش يخبي اللي حصل. عيونه ادمعت وهو بيفكر في رد فعل مامته. جمع شجاعته وقرر يروح يقول لمامته الحقيقة.

""ماما، أنا آسف، أنا كنت بلعب بالكورة جوه البيت وكسرت المزهرية بتاعتك"".

مامته لما شافت الحزن في عيونه، حضنته جامد وقالتله: ""يا ياسين، أنت آسف وده الأهم. المهم تتعلم من غلطتك. ولما توعدني بحاجة تحافظ عليها"".

ياسين وعد مامته إنه مش هيعيد الغلط ده تاني. وقرروا سوا يصلحوا المزهرية بادهانها بالألوان، وبقت أجمل من الأول. ياسين تعلم إن الأهم من اللعب هو الوعد والأمانة اللي بينه وبين مامته.

ومن يومها، ياسين بقى يلعب بالكورة بره البيت مع أصحابه في الحارة، وكل ما يتذكر المزهرية يتذكر قيمة الصدق والشجاعة في قول الحقيقة. وحياتهم بقت أسعد وهو فرحان إنه تعلم درس مهم جدًا وهو صغير.

وكده ياسين عرف إزاي يكون صادق مع نفسه ومع أهله وإزاي يحافظ على بيته وحاجاتهم. وعاشوا في سعادة وهنا."
6,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 5-8. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 1. الموضوع بتاع القصة لازم يكون الصحة والتغذية.  البلد اللي بتحصل فيها الأحداث هي المملكة العربية السعودية. النشاط طبخ وصفات بسيطة. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في بلد كبير وجميل اسمه المملكة العربية السعودية، عاش صندوق صغير اسمه سليم. سليم كان بيحب يطبخ أوي، بس كان دايمًا بيستخدم مكونات مش كويسة لصحته زي السكر الكتير والزيوت غير الصحية، ومكنش بيحب يأكل خضار أو فواكه.

في يوم، قرر سليم يعمل أكبر وأحلى كيكة في الدنيا. استخدم كل السكر اللي عنده والزبدة الكتير. بعد ما خلص الكيكة وبدأ يأكل منها، حس بأنه مبسوط جدًا لأن شكلها كان حلو وطعمها كان حلو برده، لكن بعد شوية حس بتعب كبير ومش قادر يقوم يلعب زي الأول.

سليم فضل يفكر ويفكر، لحد ما عرف إن الأكل اللي مكنش بيحبه زي الخضار والفواكه هو اللي كان هيخليه دايمًا قوي وصحي، وإن الكيكة الكبيرة اللي عملها مش السبب الحقيقي في سعادته.

يوم بعد يوم، بدأ سليم يشتاق للأيام اللي كان فيها بيلعب ويجري من غير تعب. قرر إنه يبدأ يأكل أكل صحي، لكن للأسف، صحته مكنتش رجعت زي الأول لأنه استنى كتير قوي قبل ما يغير من نظامه.

حاول سليم يشارك الصغار قصته، عشان يتعلموا منه ويبدوا يأكلوا صح من صغرهم. حتى لو سليم مكنش قادر يرجع زي زمان، بس كان فرحان إنه بقى يقدر يساعد غيره يعيش حياة صحية.

ولسه لحد النهارده، كل الأطفال في المملكة العربية السعودية بيحكوا قصة سليم، الصندوق الصغير اللي عرف قيمة الصحة والتغذية بعد فوات الأوان، بس برده ساعد غيره يتجنب الغلط اللي هو وقع فيه."
7,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 8-10. أحداث الحكاية المفروض تكون في الشاطئ. نهاية الحكاية المفروض تكون سعيدة. لازم يكون في حوار. عدد الشخصيات في الحكاية المفروض يكون 1. :الدرس المستفاد من الحكاية هو في الوحدة قوة.  البلد اللي بتحصل فيها الأحداث هي لبنان. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"كان فيه ولد اسمه أمير، عنده 9 سنين، سافر مع أهله لشاطئ في لبنان لقضاء الإجازة الصيفية. أمير كان فرحان جدًا عشان أول مرة يشوف البحر ويلعب في الرمل.

في يوم من الأيام، استيقظ أمير بدري جدًا حابب يلعب على الشاطئ قبل ما حد يصحى. أمير نزل للشاطئ وبدأ يبني قلعة رملية كبيرة؛ كان مستمتع جدًا بوقته. بعد شوية، لقى الرياح بدأت تزيد والأمواج بدأت تدق في الشاطئ. أمير خاف شوية بس قرر يكمل بناء القلعة.

بعد ما خلص، وقف يتأمل شغله وفرحان باللي عمله، لكن وبدون مقدمات، جت موجة كبيرة وهدت كل القلعة. أمير زعل جدًا وقعد جنب البحر يحاول يمسك دموعه.

فجأة، ومن غير ما يتوقع، لقى كلب صغير جاي جري عليه. الكلب ده بدأ يلعب مع أمير ويدور حواليه. أمير نسى زعله شوية وابتدى يلاعب الكلب اللي فرّح قلبه. 

أمير قال للكلب وهو يضحك: ""إنت جيت في وقتك، كنت محتاج صاحب يشاركني اللعب"".

الكلب، كأنه فاهم كلام أمير، وقف جنبه وبدأ يحفر في الرمل معاه كأنه بيقول ""أنا هنا معاك"". أمير حس انه مش وحيده وأن الصحبة قد تأتي من أي مكان حتى لو من كلب لطيف على الشاطئ.

أمير والكلب قضوا اليوم كله مع بعض. ولما جه وقت الغروب، جرى الكلب لصاحبه الحقيقي اللي كان بيدور عليه على الشاطئ.

أمير رجع لأهله وحكى لهم عن مغامرته وعن صديقه الجديد. أهله فرحوا بالحكاية وأكدوا له فكرة ان ""في الوحدة قوة""، حتى لو كانت الوحدة بين ولد وكلب.

من يومها، كل مرة يجي أمير للشاطئ بيبص حواليه يمكن يلاقي صديقه الكلب تاني، علمه إن الصداقة الحقيقية ممكن تتولد في أي وقت ومكان.
"
8,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 5-8. أحداث الحكاية المفروض تكون في المختبر العلمي. نهاية الحكاية المفروض تكون سعيدة. لازم يكون في حوار. عدد الشخصيات في الحكاية المفروض يكون 3. الموضوع بتاع القصة لازم يكون التكنولوجيا والمستقبل.  البلد اللي بتحصل فيها الأحداث هي الكويت.  الحكاية المفروض يكون فيها إحساس بالمفاجأة. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في يوم من الأيام، في مختبر علمي كبير في الكويت، كان في عالم صغير اسمه عمر، وبنت ذكية جدًا اسمها ليلى، وروبوت متطور اسمه رامي. عمر وليلى كانوا دايمًا بيحلموا بإنهم يعملوا اختراع يقدر يغير العالم ويخليه أحسن.

في يوم قالت ليلى: ""يا عمر، ماتجرب معايا نعمل ماكينة زمن؟ يمكن تخلينا نشوف المستقبل!""

عمر قال بحماس: ""فكرة جميلة! بس نحتاج مساعدة رامي عشان يساعدنا في الحسابات والتجارب.""

رامي، بصوته الآلي اللطيف: ""أنا جاهز للمساعدة.""

بدأوا يجمعوا المعلومات ويحللوها ويجربوا، وكل مرة كانت النتيجة مش زي ما هما عاوزين. بس مايأسوش، وفضلوا مستمرين في المحاولة حتى وصلوا للتجربة الأخيرة.

ليلى قالت بترقب: ""يا ترى، هتشتغل المرة دي؟""

عمر أجاب: ""لازم نجرب، يلا بينا.""

وضغطوا على زرار التشغيل، وفجأة الغرفة امليت بضوء ساطع وصوت غريب. ولما الضوء والصوت هديوا، لقوا قدامهم شاشة بتعرض صور من المستقبل. شافوا العالم ازاي بقى مكان أحسن بفضل التكنولوجيا، وكيف الناس بقت تعيش في سلام ووئام بفضل التعلم والعلم.

رامي قال بفرحة: ""لقد نجحتم! هذه هي رؤية المستقبل.""

عمر وليلى سعدوا جدًا وفرحتهم كانت فرحة مالهاش حدود. قرروا يشاركوا الاكتشاف ده مع العالم كله عشان يوروهم إزاي المستقبل ممكن يكون جميل وأحسن لو الكل اشتغل مع بعضه.

ومن يومها، بقى عمر وليلى ورامي مشهورين جدًا في الكويت والعالم كله كأبطال عملوا على خلق أمل في قلوب الناس عن مستقبل أفضل.

وبكده خلصت حكايتنا الجميلة، اللي بتقولنا إن بالعلم والإصرار، ممكن نشوف مستقبل أحلى ونعمل محال."
9,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 3-5. أحداث الحكاية المفروض تكون في القلعة. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 1. :الدرس المستفاد من الحكاية هو الأخوة. الموضوع بتاع القصة لازم يكون التاريخ والحضارات القديمة.  البلد اللي بتحصل فيها الأحداث هي الإمارات العربية المتحدة. النشاط الرسم.  الحكاية المفروض يكون فيها إحساس بالانزعاج. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"كان يا مكان، في قديم الزمان، في قلعة كبيرة وسط صحاري الإمارات العربية المتحدة، كان فيه حارس القلعة، اسمه زياد. زياد كان بيحب القلعة دي قوي وكان دايمًا بيحافظ عليها من أي خطر. يوم من الأيام، قرر زياد يرسم جدران القلعة بالألوان الزاهية علشان يدي للقلعة حياة وفرحة.

لكن زياد كان تعيس شوية، ليه؟ علشان كان فاقد أهله وإخواته اللي تاهوا منه وهما صغيرين، وكان دايمًا بيحلم إنه يلاقيهم تاني ويعيش معاهم في سعادة. كل يوم، بعد ما يخلص شغله في القلعة، كان بيقعد يرسم صور للأسرة اللي كان نفسه يكون معاهم.

مرت الأيام، والجدران بقت زي اللوحات الفنية الرائعة، لكن قلب زياد كان لسه حزين. كان دايمًا بيتمنى لو كان ليه أخوات يشاركوه فرحة رسوماته، ويعيشوا معاه داخل القلعة الجميلة. لكن، مهما حاول، قلبه كان دايمًا مليان بالحزن علشان فراقهم.

الدرس اللي اتعلمناه من حكاية زياد هو إن الأخوة كنز مش ممكن يتعوض ولازم نقدّرهم ونعيش معاهم في سلام ومحبة. رغم إن حياته في القلعة كانت جميلة، لكن بدون أهله وإخواته، كان فيه شيء ناقص.

وهكذا، حياة زياد في القلعة ورسوماته الملونة بقت بتحكي قصة حزينة عن الوحدة والشوق للأسرة. وكل من يزور القلعة يعجب بجمالها، لكنهم كمان كانوا بيحسوا بالانزعاج والحزن لما يعرفوا قصة زياد الحارس الوحيد. ومن يومها، بقت القلعة رمز للحب والأخوة اللي لازم نقدرها ونحافظ عليها."
10,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 3-5. أحداث الحكاية المفروض تكون في المزرعة. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 3.  البلد اللي بتحصل فيها الأحداث هي الجزائر.  الحكاية المفروض يكون فيها إحساس بالإحباط. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في مزرعة صغيرة في الجزاير، كان فيه شاة اسمها نوره وكتكوت اسمه فرفور وكلب اسمه بوجي. كانوا صحاب أوي وبيحبوا يلعبوا سوا كل يوم في الحقل الكبير جنب المزرعة.

نوره كانت دايمًا بتحلم بإنها تقدر تطير زي الفراشات وتشوف العالم من فوق، فرفور وبوجي كانوا دايمًا بيحاولوا يفرحوها ويقولولها إنها ممكن تحقق حلمها لو ظلت مؤمنة وحاولت أكتر. 

كل يوم الصبح، كان فرفور بيحاول يعلم نوره إزاي تقوم وتحاول تنط عالي، وبوجي كان بيشجعها ويقول لها: ""متيأسيش يا نوره، إنتي قوية وتقدري تعمليها"". وكل مرة تحاول نوره تطير، كانت بتقع وتتآلم، بس صحابها كانوا دايماً جنبها يواسوها ويساعدوها تقوم من تاني.

بس يوم من الأيام، بعد ما اجتهدت أوي وحاولت بكل قوتها، نوره وقعت وإتآذت جامد. وده كان صعب أوي على فرفور وبوجي يشوفوا صاحبتهم الحلوة تتألم كده. وكانوا محبطين أوي لأنهم مش عارفين يساعدوها تحقق حلمها.

الدكتور جه وقال إن نوره هتحتاج ترتاح كتير علشان تقدر تمشي تاني، بس هتكون صعبة عليها تحاول تطير مرة تانية. ده خلى كلهم حزينين جداً، ونوره كمان حست بإحباط عميق علشان مقدرتش تحقق حلمها.

بوجي وفرفور قعدوا جنب نوره، وحاولوا يخلوها تحس بالحنية والمحبة منهم. وقرروا إنهم هيكونوا معاها ويساعدوها في كل لحظة، حتى لو مقدرتش تطير أبداً.

وفي النهاية، بينما كانت نوره قد خسرت حلمها في الطيران، كانت لازالت غنية بمحبة صحابها. بس الإحساس بالإحباط ظل حاجة صعبة على قلوبهم الصغيرة لكنهم عرفوا إن مع بعضهم، يقدروا يتخطوا حتى الأيام الحزينة."
11,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 8-10. أحداث الحكاية المفروض تكون في المزرعة. نهاية الحكاية المفروض تكون سعيدة. لازم يكون في حوار. عدد الشخصيات في الحكاية المفروض يكون 3.  البلد اللي بتحصل فيها الأحداث هي المملكة العربية السعودية. النشاط الرسم.  الحكاية المفروض يكون فيها إحساس بالترقب. الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"في يوم جميل في إحدى مزارع المملكة العربية السعودية، كان يعيش العم جابر مع حفيده زياد وصديقتهم الأمينة البقرة سلمى. كان زياد يحب الرسم كثيرًا ودايمًا يمسك الألوان والورق ويفضل يرسم المناظر الجميلة اللي حواليه في المزرعة.

في يوم من الأيام، قال العم جابر: ""يا زياد وسلمى، إيه رأيكم نعمل مسابقة؟ مين يقدر يرسم أحلى صورة للمزرعة؟""

زياد رد بحماس: ""يالا يا جدي! أنا جاهز. هجيب الألوان والورق دلوقتي!"" وسلمى ما كانتش بتعرف ترسم بس كانت فرحانة برضو تشوف اللي هيحصل.

بدأ زياد يرسم المزرعة، وكل مرة يبص لسلمى تبتسم له. والعم جابر قاعد يتفرج عليهم وقلبه مليان فرحة. لما خلص زياد رسمته، كانت الشمس بتغرب والسما بقت لونها زي اللوحة الفنية.

زياد جري بالصورة ووراها لجده وسلمى، وقال: ""شوفوا، خلصت! إزاي؟""

العم جابر بص للصورة وابتسم: ""ما شاء الله، ده إنت فنان يا زياد! شايفين دي، سلمى مرسومة جميلة أوي في الصورة. إنت عرفت تجيب جمال المزرعة كله في الرسمة دي.""

وابتسمت سلمى بطريقتها الخاصة، كأنها كمان كانت فرحانة بالرسمة.

زياد قال بفرحة: ""الحمد لله. بس أنا مكنتش هعمل كده من غير تشجيعكم.""

وفي النهاية، قرر العم جابر يعمل إطار للصورة ويعلقها في بيت المزرعة، قالبها تذكار ليوم جميل ومميز بينه وبين حفيده زياد وصديقتهم سلمى.

وطول الأيام اللي بعدها، كل ما يدخلوا البيت ويشوفوا الرسمة، قلوبهم تمتلي بالفرحة والدفا ويتذكروا اليوم الجميل ده. وعدى الوقت وبقت الرسمة دي مصدر إلهام لزياد يستمر في حبه وشغفه بالرسم."
12,أكتب حكاية قصيرة تكون مفهومة للأطفال في عمر 3-5. أحداث الحكاية المفروض تكون في المحيط. نهاية الحكاية المفروض تكون حزينة. عدد الشخصيات في الحكاية المفروض يكون 1. :الدرس المستفاد من الحكاية هو متعتمدتش على حاجة لحد ما تتأكد من انها هتحصل.  البلد اللي بتحصل فيها الأحداث هي فلسطين. زود تحول مش متوقع في الأحداث: البطل والشرير اتبدلت ادوارهم فجأة.الحكاية لازم تكون باللهجة المصرية. اكتب الحكاية مباشرة.,"كان فيه سمكة صغيرة وحيدة اسمها سامي, سامي دايمًا كان بيحلم يشوف العالم فوق الميه, يشوف الشجر والعصافير اللي بتغني, لكن كل السمك الكبير كان دايمًا بيقول له ""متحلمش بحاجات بعيدة عنك"". 

بس سامي كان مش مقتنع وقرر يحقق حلمه. في يوم من الأيام, لاقى قنديل بحر كبير ولامع. قنديل البحر ده قال له ""أنا أقدر أخدك فوق المياه لفترة كافية تشوف العالم فوق, بس لازم تعدني إنك هترجع تاني معايا لعمق المياه"".

سامي كان فرحان جدا ووافق من غير ما يتردد، بس ماخدش باله من التحذير اللي قاله قنديل البحر عن العودة للمياه عميقة. لما طلع فوق المياه, سامي كان فرحان جدا؛ شاف السما الزرقا والسحاب الأبيض, وحس بدفا الشمس على جسمه الصغير. لكن مكانش فاكر إنه لازم يرجع تاني للمياه العميقة.

وهو فوق, فجأة حس بنفسه بيبقى ضعيف, وأدرك إنه لو مارجعش للمياه دلوقتي هيموت. حاول يرجع للمياه بس ماقدرش, قنديل البحر اللى كان بيبان زي البطل لما عرض المساعدة, اتبين إنه الشرير لما ترك سامي يواجه مصيره لوحده.

سامي قعد على سطح المياه وهو حزين, وفجأة حس بإنه بيغرق لتحت, لكنه كان خلاص فقد الكثير من قوته. فى الآخر, سامي مات وحيد، بعيد عن العالم اللي كان حلم يشوفه, وبعيد عن البحر اللي كان بيته.

الحكاية بتعلمنا إن مش كل اللي بنحلم بيه سهل نوصله وإن لازم نكون حذرين ومنعتمدش على وعود من غير ما نتأكد إنها هتتحقق فعلاً. وكمان مهما كان حد مبدوء كويس، لازم نفهم نواياه كويس قبل ما نثق فيه."
