,Prompt,Story
0,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 8-10. النهاية ديال القصة خاصها تكون حزينة. عدد الأشخاص في القصة لازم يكون 1. الدرس اللي نتعلموه من القصة هو ما تتكلش على حاجة حتى تكون متأكد أنها غادي تكون. بلاد الأحداث هي  البحرين. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في بلاد البحرين، كان كاين ولد صغير اسمو يوسف. يوسف كان ديما يحلم يشري دراجة جديدة، خاصة بعد ما شاف واحد الدراجة زرقاء وبيضاء فالمحل قرب من دارهم، وكل يوم كيمر من قدام المحل غير باش يشوفها ويتخيل راسو راكب عليها.

يوسف كان يجمع النقود من عيد ميلادو ومن العيد. قال لراسو غادي يشري الدراجة بلا ما يقول لماماه وباباه، باش يفاجئهم. قرر يوسف يحتافظ بالسر، وما يكلم حد على النقود لي جمع ولا على الحلم ديالو.

بعد مدة، يوسف جمع النقود الكافية ومشى للمحل باش يشري الدراجة. وصل للمحل ولكن اكتشف شيء محزن. الدراجة اللي كان يحلم بيها كانت تمشات. شراها ولد اخر. يوسف حس بخيبة أمل كبيرة وبدا يبكي قدام المحل.

رجع لدارهم وهو كيحس براسو ضايع. ما قدرش يفهم كيفاش كلشي كان يبان مضبوط وفالاخر يتغير. من هاد القصة، يوسف تعلم بلي ما يجبش يعيش على أحلام حتى يكون متأكد منها، وبلي الحياة مليئة بالمفاجآت لي ممكن تكون مكالمة زوينة وممكن تكون حزينة. ولكن الأكيد، هو بلي كلشي كايعلم وكايخلي درس يتعلمو الواحد."
1,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 3-5. النهاية ديال القصة خاصها تكون حزينة. عدد الأشخاص في القصة لازم يكون 2. الدرس اللي نتعلموه من القصة هو الطمع كايوصل الواحد للسقوط. بلاد الأحداث هي  تونس. الأحداث كاينة في الفصل ديال الصيف. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"كان يا مكان في بلاد تونس، في الصيف لما تكون الشمس عالية والسما زرقا، عاشوا صحاب جوج: حميد و يوسف. حميد و يوسف كانوا ديما مع بعضياتهم، في اللعب وفي الخرجة، ما كايفارقوش.

في يوم من الأيام، وهما كايدوروا في السوق، شافوا سيد كايبيع طماطم كبيرة وحمراء بزاف، بحال الجوهر. حميد قال ليوسف: ""واش ما تشوفش هاد الطماطم؟ أكيد غادي تكون لذيذة بزاف! خلينا ناخدو شوية"".

يوسف قال بنبرة حذرة: ""ولكن احنا قداش عندنا من درهم؟ واش بصاح نقدو ناخذوها؟ يلاه نرجعو للدار، نسولو واليدينا"".

حميد، لكن، ما بغاش يسمع لشي حد. طمعو في الطماطم وصل للقلب. قرر يسرق شوية، وهو يعرف بلي هاد الشي ماشي صح. يوسف حاول يمنعو، لكن حميد ما سمعش لكلامو.

وهما خارجين من السوق، السيد اللي كايبيع الطماطم شد حميد. يوسف بغا يدخل يعاون صاحبو، ولكن كان متأخر. الناس في السوق تجمعوا، وكلشي شاف حميد شنو دار. الحزن كان كبير في عيني يوسف لما شاف صاحبو في هاد الموقف الصعيب.

أخرجوا حميد السيد ووالدي يوسف من السوق، ومن ديك النهار، حميد ما بقاش يلعب مع يوسف. الحزن دار بيت في قلب يوسف، اللي فقد صاحبو بسبب الطمع.

وهادي هي قصة حميد ويوسف، اللي علماتنا بلي الطمع كايوصل الواحد للسقوط، وقد يخسرنا الأشياء الغالية في حياتنا."
2,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 3-5. النهاية ديال القصة خاصها تكون سعيدة. عدد الأشخاص في القصة لازم يكون 1. الموضوع ديال القصة خاصو يكون الطبيعة وحماية البيئة. بلاد الأحداث هي  لبنان. النشاط: السباحة. لازم القصة تكون فيها شي إحساس بالهدوء. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في بلاد لبنان الجميلة، وسط الجبال الخضر والأشجار العالية، كان يعيش طفل صغير اسمو أمير.  أمير كان كيبغي يسبح بزاف، وكل يوم د الصيف كيمشي لشاطئ قريب من دارهم.

واحد النهار، وهو كيسبح وكيلعب في الما، لاحظ أمير بلاستيك وزبل مرميين على الشاطئ وفي الما. قلبو تقطع على الطبيعة وقرر يدير شي حاجة باش يحميها.

أمير بدا يجمع الزبل والبلاستيك كل مرة كيجي للشاطئ. شوية بشوية، الشاطئ بدا يبان نقي وأزرق. السمك وطيور البحر بداو يرجعو للمكان، وأمير حس بفرحة كبيرة فقلبو.

الناس اللي كتجي للشاطئ بداو يلاحظو الفرق وسولو أمير علاش دير هكا. لما قال ليهم بغيت نحمي الطبيعة ونخلي لبنان زوينة، كلشي تحمس يعاونو.

مع الوقت، الشاطئ صار جنة صغيرة، وأمير صار معروف بين الناس ك""حارس البحر"". مرات، كيجي مع صحابو يسبحو ويلعبو فالما النقية، كيشوف فالسما ويشكر ربو على هاد النعمة.

هكا, أمير ولى مثال للكل في كيفية حماية البيئة وجعل العالم أحسن. المغامرات ديالو على الشاطئ علمو الدراري والكبار بزاف على أهمية المحافظة على الطبيعة.

ومن ذاك اليوم، كلما كان أمير كيسبح ويلعب فالماء، كان كيحس بسعادة عميقة، عارف بللي دار شي حاجة مزيانة لبلادو وللبيئة. والأحلام الصغيرة ديالو بتحققو بشوية شوية، كل هاد بالمحبة والعناية للطبيعة."
3,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 5-8. النهاية ديال القصة خاصها تكون حزينة. لازم يكون شي حوار. عدد الأشخاص في القصة لازم يكون 3. بلاد الأحداث هي  عمان. زيد شي تحول ماشي متوقع ف الأحداث: تحول الصديق المقرب إلى خصم.القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في قرية صغيرة فعمان, كان فيه ثلاثة أصدقاء: عمر, سارة ويوسف. كل نهار كيلاقاو ويلعبو مع بعضياتهم تحت شجرة كبيرة في نص الحومة. عمر كان يحب يسمع الحكايات، سارة كانت تحب تغني، ويوسف كان أحسن واحد فالرسم.

واحد النهار، وهما جالسين تحت الشجرة، قرر يوسف يرسم صورة لعمر وسارة. ولكن حصل شيء ما كانوش متوقعينو. ملي كمل يوسف الرسم، بان ليهم أن الصورة ماشي زينة وعمر بدا كيضحك على شكلو في الصورة.

يوسف تضايق بزاف وقال لعمر: ""أنا حاولت ندير شي حاجة زوينة، وانت غير كتضحك عليا!""

عمر وقف كيضحك وقال: ""غير كنضحك، ما كان قصدي نجرحك.""

لكن يوسف ما قبلش الاعتذار وقرر ما يلعبش معاهم مرة أخرى. تحول الصديق لخصم، وشيء مكانش متوقع.

ومن ديك النهار, سارة وعمر بقاو يلعبو تحت الشجرة بوحدهم وكيشوفو في فراغ الرسام اللي تحول لخصم. سارة بدات كتغني بصوت حزين وعمر كيتفكر شحال كانو سعداء كاملين قبل.

النهاية ديال القصة كتبقى حزينة، حيت فقدان الصداقة شيء صعيب. ولكن كتخلينا نتعلم بلي الكلمات والأفعال ديالنا عندها تأثير كبير على ناس اللي كيعزونا."
4,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 3-5. لازم الأحداث ديال القصة تكون في الصحراء. النهاية ديال القصة خاصها تكون سعيدة. عدد الأشخاص في القصة لازم يكون 2. الدرس اللي نتعلموه من القصة هو ما تتكلش على حاجة حتى تكون متأكد أنها غادي تكون. الموضوع ديال القصة خاصو يكون التكنولوجيا والمستقبل. بلاد الأحداث هي  اليمن. النشاط: سرد القصص. لازم القصة تكون فيها شي إحساس بالذنب. زيد شي تحول ماشي متوقع ف الأحداث: الكشف بلي الحدث الرئيسي كان خدعة.القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في صحراء اليمن الواسعة، كان فيه زوج صحاب، يوسف وسمر، كيحلمو بلي يعيشو في مدينة مليئة بالتكنولوجيا والمستقبل. يوم من الأيام، شافو ضو فالسماء وقالولو هذا أكيد مدينة من مدن المستقبل جاية لعندنا.

يوسف كان متحمس بزاف وقال لسمر يخليو كلشي ويمشيو تبعو الضو. سمر كان شوي متردد لكن في الأخير مشى معاه لأن ما بغاش يخلي صاحبو يمشي بوحدو.

مشاو ومشاو، تحت شمس الصحراء الحارقة، حتى وصلو لمكان وجدوا فيه قبة كبيرة تشع بأنوار مختلفة الألوان. يوسف جرى فرحان نحو القبة وسمر تابعو بخطوات مترددة.

لكن، لما دخلو، لقاو راسهم في وسط تجمع كبير ديال الأشخاص اللي كانو كيتفرجو في عرض ضوئي. الحقيقة دارت بلي مكانش هناك شي مدينة تكنولوجية؛ كانت هي خدمة فنان محلي كبيرة!

يوسف حس بالذنب لأنو خلا كلشي خلفو وجرا وراء حلم ماكانش حقيقي، لكن سمر ضحك وقاليه، ""مهم أننا درنا هاد المغامرة مع بعض وتعلمنا ما نتعلقوش بشي حتى نتأكدو منو.""

فالنهاية، يوسف وسمر بناو مشروعهم الصغير في الصحراء: مكان لعرض الفنون والتكنولوجيا للناس ديال المنطقة. هكذا، تحول خطأهم لنجاح كبير جمع الناس معا وخلاهم يفكرو في المستقبل بطريقة جديدة.

من خلال هاد القصة، دراري صغار تعلمو أن ما يتكلوش على حاجة حتى يكونو متأكدين منها، وأن خطأ صغير يمكن يكون بداية لشي جميل وكبير."
5,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 8-10. لازم الأحداث ديال القصة تكون في الغابة. النهاية ديال القصة خاصها تكون سعيدة. عدد الأشخاص في القصة لازم يكون 3. بلاد الأحداث هي  ليبيا. الأحداث كاينة في الفصل ديال الصيف. النشاط: طهي وصفات بسيطة. زيد شي تحول ماشي متوقع ف الأحداث: الكشف بلي القصة كلها جزء من مسرحية أو تمثيلية.القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في صيف حار فوسط غابة كبيرة في ليبيا, كانت ثلاثة أصدقاء، يوسف وليلى وسامي، قد خرجوا في مغامرة للتعلم كيف يطيبوا وصفات بسيطة من الطبيعة. حملوا معاهم كتاب الطبخ الصغير ديال جدة ليلى، اللي كان مليان بأسرار ووصفات طبيعية.

يوم واحد، وهما يجمعوا الأعشاب والثمرات من الغابة، انقطعو على بلاصة ماشي عادية، شي ناس قالبين مكان بوكادوس وبهارات. كانوا مرتبكين في الأول، ولكن جا واحد عمو صويلح من الناس اللي كانو في المكان، قال ليهم تعالو نديرو وصفة ماشي عادية.

مشوا معاه وبداو يطيبوا طبق من ثمرات الغابة، بكل واحد فيهم يزيد لمستو الخاصة. يوسف زاد قرفة، ليلى حطت ورق نعناع، وسامي قرر يضيف شوية عسل لي لقاوه في خلية نحل قريبة. الطبق بدا يشم ريحتو في كل مكان، وكل واحد فيهم بدا يحس بالفرحة. لكن، فجأة سمعوا صوت تصفيق.

الصدمة كانت كبيرة ليهم، لما لقاو راسهم في وسط مسرح، والناس حوليهم كيصفقو. كان كلشي جزء من مسرحية تعليمية على الطهو والطبيعة، وهوما كانو الأبطال ديالها من غير ما يعرفو!

الفرحة ملات قلوبهم وهوما يشوفو الفخر في عيون جمهورهم. الأصدقاء احتفلوا مع العمو صويلح وكل الناس اللي كانو جزء من هاد الحدث. لا ما كانت غابة ولا كان تحدي الطهو عادي، كلشي كان جزء من مغامرة كبيرة علمتهم كيف يشاركوا الفرحة والمعرفة مع الآخرين. 

ومن ديك النهار، يوسف وليلى وسامي مابقاوش غير أصدقاء، ولكن صاروا شركاء في الطهو والمغامرات، ديما فاكرين كيف الطبيعة والفن ديال الطهو جمعهم في واحدة من أحسن المغامرات في حياتهم."
6,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 5-8. النهاية ديال القصة خاصها تكون سعيدة. عدد الأشخاص في القصة لازم يكون 2. الدرس اللي نتعلموه من القصة هو الأخوة. بلاد الأحداث هي  سوريا. الأحداث كاينة في الفصل ديال الربيع. النشاط: العزف على الآلات الموسيقية. لازم القصة تكون فيها شي إحساس بالخوف. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"كان في قرية صغيرة وسط سوريا، عايش ياسين وأخوه حكيم. ياسين كان عندو 8 سنين وحكيم 6 سنين. الربيع فرّح القلوب بزهورو ونسمات هواه العليلة. ف يوم، قرر ياسين وحكيم يعلمو بعضياتهم كيفاش يعزفو على العود اللي ورثوه من جدهم.

فوق السطح دارهم، كانت تمارساتهم الموسيقية تتسرب خافتة كنسيم الربيع. لكن ف واحد النهار، وهما كيتعلمو العزف، سمعو صوت غريب جاي من الزنقة. الخوف شد قلوبهم وعقلهم بدل النوتات الموسيقية بالتساؤلات.
 
ياسين قال لحكيم: ""خلينا نشوف شنو واقع"". ورغم الخوف، ناضو يشوفو مال الزنقة. تبعو الصوت ولقاو كلب صغير كيعيط، كان تايه وخاف من الظلام الجاي. 

حكيم نطق بخوف: ""ياسين، شنو غادي نديرو؟"" 
ياسين، كيحاول يبان قوي قدام أخوه، قال: ""غادي نعاونوه. هادا ماشي وقت الخوف، هادا وقت الشجاعة"".

ياسين وحكيم دارو الكلب الصغير بيناتهم ورجعو للدار. بالتدريج، شرعو في العناية به، وزاد نشاطهم الموسيقي بابتسامات ونباحات مليئة بالفرح. في أيام قليلة، الكلب صبح حبيب الدار وأضاف فرحة ما كانتش متوقعة.

هاكدا، ياسين وحكيم تعلمو درس ثمين على الشجاعة والمحبة. وتعلمو كيفاش يواجهو الخوف سوا، ويلقاو السعادة في العطاء، مشي غير في الأخذ.

الربيع ديال سوريا ما بقاش غير فصل د الزهور والنسمات الحلوة، ولكن ولا كمان فصل فرحة ياسين وحكيم مع صديقهم الجديد. وهكدا، الأخوة، بالمحبة والموسيقى، ولات أقوى وأحلى."
7,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 8-10. لازم الأحداث ديال القصة تكون في المزرعة. النهاية ديال القصة خاصها تكون سعيدة. لازم يكون شي حوار. عدد الأشخاص في القصة لازم يكون 1. الدرس اللي نتعلموه من القصة هو الأخوة. بلاد الأحداث هي  المملكة العربية السعودية. النشاط: السباحة. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في يوم حار جدا في المملكة العربية السعودية، كان هناك دري صغير اسمو ياسين عايش مع عائلته في مزرعة كبيرة بزاف. ياسين كان بحال خوه للجميع الحيوانات في المزرعة، كيعتبرهم عائلته الثانية.

واحد النهار، كان ياسين كيتمشى في المزرعة وهو يلاحظ بأن فرخ البطة اللي كانو كيسموه ""بطوط"" تاه عن الباقي ووقع في حفرة صغيرة مليئة بالماء. بطوط كان كيحاول يخرج لكن ما قدرش، كان كيطقطق بالخلعة.

ياسين مشى جهة بطوط وقال بصوت حنين: ""متخافش يا بطوط، أنا غادي نعاونك."" ياسين جرى لجيب حبل من الإسطبل ورجع عند بطوط. ربط ياسين الحبل حول بطوط بلطف كبير باش ما يؤذيهش، وبدأ يشد فيه شوية بشوية حتى خرج بطوط من الحفرة.

بطوط لما شاف راسو برا الحفرة، بدا يطقطق بفرحة ورجع يجري لعند خوتو البطات. ياسين تبسم وهوا كيشوف بطوط مع عائلته، حس بفرحة كبيرة في قلبو كيف جمع شمل بطوط بعائلتو.

بعد داك النهار، ياسين فهم بأن الأخوة موش غير بين الناس، ولكن حتى بين الإنسان والحيوانات. وأصبح بطوط يتبع ياسين فينما مشى في المزرعة، كأنه صار خويا صغيرو. كلشي في المزرعة لاحظ الصداقة القوية اللي تكونت بين ياسين وبطوط وبداو يقدرو أكثر قيمة الإخاء والمساعدة.

وهكذا، كانت علاقة بين ياسين وبطوط عبرة للجميع على أهمية الأخوة والعون بين كل الكائنات. وعاشو في المزرعة سعداء، وكانو كل يوم يتعلمو دروس جديدة عن الحب والمساعدة."
8,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 3-5. لازم الأحداث ديال القصة تكون في محطة القطار. النهاية ديال القصة خاصها تكون حزينة. عدد الأشخاص في القصة لازم يكون 3. بلاد الأحداث هي  الصومال. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"كان في محطة قطار صغيرة ببلاد الصومال، كانوا جالسين ثلاثة أصدقاء صغار، سعيد وأمين وليلى. هاذ الأصدقاء كان عندهم قطار صغير لُعبة مزين بألوان زاهية، كانوا يلعبوا بيه كل يوم جنب المحطة.

واحد النهار، قال سعيد لصحابو: ""واش بصح هاذ القطار لُعبتنا غادي يوصلنا لبعيد؟"" أمين ضحك وقال: ""أكيد لا، هادا غير لعبة، لكن يلاه نديرو سباق نشوفو شكون فينا يقدر يجري حداه!"" وليلى بابتسامتها المعهودة قالت: ""يلاه!""

بدأوا يجرو والفرحة مليانة قلوبهم، لكن فجأة، القطار الحقيقي دخل المحطة، وبدون ما ينتبهو، القطار لُعبتهم سقط من أيديهم وتحت القطار الكبير. لما وقّف القطار، الأصدقاء ركضو ليشوفو لُعبتهم، لكن لقاوها مكسرة تحت القطار.

سعيد، أمين وليلى وقفو هناك حزانى، يشوفو في قطار لُعبتهم مكسرة. سعيد قال بصوت حزين: ""كانت مجرد لُعبة، لكن كانت تجمعنا كل يوم هنا، تضحكنا وتخلينا فرحانين.""

أمين حط يدو على كتف سعيد وقال: ""عادي خويا، نقدرو نلقاو لُعبة أخرى، لكن الصداقة ديالنا ماكاينش لي تيخليها تتكسر.""

ليلى، بعيونها الدامعة، قالت: ""صحيح، المهم حنا مع بعضنا. ديما غادي نتذكر قطارنا والضحكات اللي دار معانا.""

هكذا، تعلم الأصدقاء الصغار درسا قيّما عن قيمة الصداقة وأهمية اللحظات اللي يقضيوها مع بعضهم، حتى وإن كانت طفولية وبسيطة. ولو النهاية كانت حزينة بتكسير لُعبتهم المفضلة، حبهم وصداقتهم زادت أكثر قوة ومتانة."
9,كتب شي قصة قصيرة باش يفهموها الدراري في عمر 3-5. النهاية ديال القصة خاصها تكون سعيدة. عدد الأشخاص في القصة لازم يكون 1. الموضوع ديال القصة خاصو يكون الكوميديا والمواقف المضحكة. بلاد الأحداث هي  الأردن. الأحداث كاينة في الفصل ديال الصيف. النشاط: السباحة. القصة خاصها تكون بالدارجة المغربية. اكتب القصة مباشرة.,"في واحد النهار صيفي حار في الأردن، كان شي دراري صغير سميتو لمياء. لمياء كان كيحب السباحة بزاف، ولكن كانت كتوقع ليه مواقف مضحكة دائماً وهو كيتعلم.

واحد النهار، قرر لمياء يمشي للبحر باش يسباح ويتمتع بالموج. ولبس شورط السباحة ديالو الجديد اللي كان مشري بالوان القوس قزح، وراسو غير مزيان. ولكن لما وصل للبحر، نسي يجيب معاه النضارات ديال السباحة ديالو، وكان عينيه كيدورو في كل بلاصة.

لمياء دخل للما، وبدا يخبط في الناس وف الأشياء لأنه مكانش شايف مزيان. والدراري الصغار اللي كانوا هناك بداو يضحكوا عليه، ماشي من الشر، ولكن حيت الموقف كان كيضحك. 

لمياء ما عجباتوش الفكرة ديال الضحك في الأول، ولكن ملي ندهر، قال في بالو: ""يالاه، حتى أنا نضحك معاهم!"" وبدا يدير حركات مضحكة في الما ويلعب بشكل يخلي الكل يضحك أكثر.

فجأة، واحد الدري صغير جا جري ليه وعطاه نضارات السباحة ديالو. قال ليه: ""نسيتي هاد النضارات على الشط، وأنا جيبتهم ليك!""

لمياء حمر ومنبهر بالموقف، ولبس النضارات ديالو وشكر الدري الصغير. ومن ديك اللحظة، كان كيشوف مزيان وقدر يسباح بلا ما يخبط فحد أو فشي حاجة.

النهار داك، لمياء والدراري كلهم دوزو وقت زوين بزاف. ولمياء عرف بأن ديما كاين الخير فالناس وأن فالضحك والفرحة كاين السعادة الحقيقية. ومن نهارها، ولو كانت عندو مواقف مضحكة، لمياء كان كيضحك ويتمتع بالحياة أكثر.

وهكذا، لمياء تعلم باللي حتى فالأوقات الصعيبة، يقدر يلاقي جوانب مضحكة ويكون سعيد. والنهار داك في البحر غادي يبقى ديما فذاكرتو كنهار من أحسن الأيام."
